,A-KJ721696,A-MW715611,A-MG181891,A-MG181770,A-PX211585,A-LC514474,A-LC514485,A-MZ546114,A-LC514496,A-KU550290,A-KX880416,A-KU550289,A-KU550287,A-PX211521,A-OP850499,A-OP850501,A-OP850500,A-OP850498,A-OP850496,A-LC105568,A-KJ752165,A-KC834699,A-PX211620,A-KJ919729,A-KC443360,A-KC443371,A-KC443226,A-HQ657142,A-LC169988,A-LC169977,A-KF716338,A-LC514507,A-LC514518,A-PP861551,A-PP861497,A-OP850495,A-KC443349,A-PX211583,A-LC228374,A-LC568992,A-LC477420,A-LC228341,A-LC569020,A-LC228352,A-LC569037,A-OP717489,A-OP717486,A-KJ721702,A-MN478872,A-MN478868,A-MN478860,A-MN478859,A-MN478813,A-KJ721706,B-KJ639027,B-KJ639016,B-PX211523,B-LC260235,B-LC260239,B-LC228330,B-LC228319,B-KU550288,B-MH569771,B-LC541984,B-MF997039,B-KU550286,B-KU870412,B-KU870390,B-LC469484,B-MH569767,B-MH704728,B-LC228308,B-MG670610,B-MG670618,B-MG670617,B-MG670614,B-MG670601,B-LC086729,B-LC086718,B-LC260233,B-KX880427,B-MH704729,B-LC751154,B-LC751124,B-KY616890,B-AB848006,B-MG599533,B-LC325462,B-KU059792,B-KU059781,B-KU059770,B-LC066643,B-MG599534,B-LC066665,B-LC066654,B-AB975603,B-AB975604,B-AB975573,B-AB975575,B-MH170024,B-MT732502,B-MT723921,B-LC169944,B-MT410499,B-LC386069,B-LC169966,B-LC169955,B-KC443459,B-KC443204,B-PX211600,B-KJ919794,B-LC086806,B-LC086784,B-LC086795,B-LC086740,B-PP861485,B-OP850494,B-PP861495,B-MN478949,B-KF716345,B-KF716344,B-MG670615,B-MG670612,B-LC105579,B-MG181660,B-KU356578,B-HQ641358,B-KC178807,B-KC442978,A-KR705205,B-KJ721700,B-KC443767,B-KC443635,B-KC443327,B-KC443011,B-KC178803,B-KC442967,B-KU248409,B-KU199274,B-KU248398
A-LC569037,97.24,97.57,97.65,97.49,98.41,98.24,98.32,98.16,98.49,98.41,98.32,98.32,98.32,97.91,97.91,98.07,98.07,98.07,97.99,97.91,97.82,98.32,98.24,98.24,98.32,98.24,98.24,97.99,98.83,98.83,98.91,98.16,98.32,98.32,98.41,98.41,98.41,98.87,99.92,99.92,99.92,99.92,100.00,100.00,,99.25,99.16,98.49,98.91,98.91,98.91,98.91,98.91,98.66,95.73,96.15,95.81,95.81,95.90,96.06,96.06,96.06,95.98,95.98,96.06,96.06,96.06,96.06,95.98,95.98,95.90,95.98,95.98,95.73,95.73,95.64,95.90,95.81,95.90,96.06,96.06,96.06,95.98,95.98,96.06,96.06,96.31,96.23,96.23,96.23,96.23,96.23,96.23,96.23,96.23,96.02,95.84,96.10,96.10,95.90,96.40,96.40,96.57,96.48,96.48,96.57,96.65,96.65,96.57,96.44,96.73,96.48,96.65,96.57,96.57,96.48,96.57,96.57,96.73,97.07,96.98,96.48,96.57,96.65,96.98,96.98,96.90,97.07,96.90,97.57,97.07,96.98,97.07,97.07,97.24,97.40,97.32,97.24,97.40,97.32
A-OP717489,97.32,97.91,98.07,97.91,98.83,98.66,98.74,98.58,98.91,98.66,98.74,98.74,98.74,98.32,98.32,98.49,98.49,98.49,98.41,98.16,98.07,98.58,98.49,98.49,98.58,98.49,98.49,98.41,99.08,99.08,99.16,98.58,98.74,98.74,98.83,98.83,98.66,99.12,99.16,99.16,99.16,99.16,99.25,99.25,99.25,,99.83,98.91,99.33,99.33,99.33,99.33,99.33,99.08,96.31,96.73,96.40,96.40,96.48,96.65,96.65,96.65,96.57,96.57,96.65,96.65,96.65,96.65,96.57,96.73,96.48,96.57,96.57,96.31,96.31,96.23,96.48,96.40,96.48,96.65,96.65,96.65,96.57,96.57,96.65,96.65,96.90,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.82,96.62,96.45,96.71,96.71,96.31,96.65,96.65,96.82,96.73,96.73,96.82,96.90,97.07,96.98,96.86,97.15,96.90,97.07,96.98,96.98,96.73,96.82,96.82,96.98,97.32,97.40,96.90,96.98,97.07,97.40,97.40,97.32,97.49,97.32,97.98,97.49,97.40,97.49,97.49,97.57,97.82,97.74,97.65,97.82,97.74
A-OP717486,97.15,97.74,97.91,97.74,98.66,98.49,98.58,98.41,98.74,98.49,98.58,98.58,98.58,98.16,98.16,98.32,98.32,98.32,98.24,97.99,97.91,98.41,98.32,98.32,98.41,98.32,98.32,98.24,98.91,98.91,98.99,98.41,98.58,98.58,98.66,98.66,98.49,98.95,99.08,99.08,99.08,99.08,99.16,99.16,99.16,99.83,,98.91,99.16,99.16,99.16,99.16,99.16,98.91,96.15,96.57,96.23,96.40,96.31,96.48,96.48,96.48,96.40,96.40,96.48,96.48,96.48,96.48,96.40,96.57,96.31,96.40,96.40,96.15,96.15,96.06,96.31,96.23,96.31,96.48,96.48,96.48,96.40,96.57,96.48,96.48,96.73,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.65,96.45,96.28,96.54,96.54,96.15,96.48,96.48,96.65,96.57,96.57,96.65,96.73,96.90,96.82,96.86,96.98,96.90,97.07,96.98,96.98,96.57,96.65,96.65,96.82,97.15,97.24,96.73,96.82,96.90,97.24,97.24,97.15,97.32,97.15,97.82,97.32,97.24,97.32,97.32,97.40,97.65,97.57,97.49,97.65,97.57
A-KJ721702,97.24,97.65,97.82,97.65,99.08,98.74,98.83,98.83,98.99,98.91,98.99,98.99,98.99,98.41,98.41,98.58,98.58,98.58,98.49,98.07,97.99,98.49,98.58,98.74,98.66,98.24,98.24,98.32,98.49,98.49,98.58,97.99,98.16,98.16,98.24,98.24,98.58,98.20,98.41,98.41,98.41,98.41,98.49,98.49,98.49,98.91,98.91,,99.58,99.58,99.58,99.58,99.58,99.66,96.06,96.48,96.15,96.31,96.23,96.40,96.40,96.40,96.31,96.31,96.40,96.40,96.40,96.40,96.31,96.31,96.23,96.31,96.15,96.06,96.06,95.98,96.23,96.15,96.23,96.40,96.40,96.40,96.31,96.48,96.40,96.40,96.65,96.57,96.57,96.57,96.57,96.57,96.57,96.57,96.57,96.36,96.19,96.45,96.45,96.23,96.57,96.57,96.73,96.65,96.65,96.73,96.82,96.98,96.90,96.94,97.07,96.98,97.15,97.07,97.07,96.65,96.73,96.73,96.90,97.07,97.15,96.82,96.90,96.98,97.32,97.49,97.40,97.40,97.24,97.90,97.40,97.32,97.40,97.40,97.49,97.74,97.65,97.57,97.74,97.65
A-MN478872,97.65,98.07,98.24,98.07,99.50,99.16,99.25,99.25,99.41,99.33,99.41,99.41,99.41,98.83,98.83,98.99,98.99,98.99,98.91,98.49,98.41,98.91,98.99,99.16,99.08,98.66,98.66,98.74,98.91,98.91,98.99,98.41,98.58,98.58,98.66,98.66,98.99,98.62,98.83,98.83,98.83,98.83,98.91,98.91,98.91,99.33,99.16,99.58,,100.00,100.00,100.00,100.00,99.75,96.48,96.90,96.57,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,96.82,96.82,96.73,96.73,96.65,96.73,96.57,96.48,96.48,96.40,96.65,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,97.07,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.80,96.62,96.88,96.88,96.65,96.98,96.98,97.15,97.07,97.07,97.15,97.24,97.40,97.32,97.19,97.49,97.24,97.40,97.32,97.32,97.07,97.15,97.15,97.32,97.49,97.57,97.24,97.32,97.40,97.74,97.74,97.65,97.82,97.65,98.32,97.82,97.74,97.82,97.82,97.91,98.16,98.07,97.99,98.16,98.07
A-MN478868,97.65,98.07,98.24,98.07,99.50,99.16,99.25,99.25,99.41,99.33,99.41,99.41,99.41,98.83,98.83,98.99,98.99,98.99,98.91,98.49,98.41,98.91,98.99,99.16,99.08,98.66,98.66,98.74,98.91,98.91,98.99,98.41,98.58,98.58,98.66,98.66,98.99,98.62,98.83,98.83,98.83,98.83,98.91,98.91,98.91,99.33,99.16,99.58,100.00,,100.00,100.00,100.00,99.75,96.48,96.90,96.57,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,96.82,96.82,96.73,96.73,96.65,96.73,96.57,96.48,96.48,96.40,96.65,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,97.07,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.80,96.62,96.88,96.88,96.65,96.98,96.98,97.15,97.07,97.07,97.15,97.24,97.40,97.32,97.19,97.49,97.24,97.40,97.32,97.32,97.07,97.15,97.15,97.32,97.49,97.57,97.24,97.32,97.40,97.74,97.74,97.65,97.82,97.65,98.32,97.82,97.74,97.82,97.82,97.91,98.16,98.07,97.99,98.16,98.07
A-MN478860,97.65,98.07,98.24,98.07,99.50,99.16,99.25,99.25,99.41,99.33,99.41,99.41,99.41,98.83,98.83,98.99,98.99,98.99,98.91,98.49,98.41,98.91,98.99,99.16,99.08,98.66,98.66,98.74,98.91,98.91,98.99,98.41,98.58,98.58,98.66,98.66,98.99,98.62,98.83,98.83,98.83,98.83,98.91,98.91,98.91,99.33,99.16,99.58,100.00,100.00,,100.00,100.00,99.75,96.48,96.90,96.57,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,96.82,96.82,96.73,96.73,96.65,96.73,96.57,96.48,96.48,96.40,96.65,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,97.07,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.80,96.62,96.88,96.88,96.65,96.98,96.98,97.15,97.07,97.07,97.15,97.24,97.40,97.32,97.19,97.49,97.24,97.40,97.32,97.32,97.07,97.15,97.15,97.32,97.49,97.57,97.24,97.32,97.40,97.74,97.74,97.65,97.82,97.65,98.32,97.82,97.74,97.82,97.82,97.91,98.16,98.07,97.99,98.16,98.07
A-MN478859,97.65,98.07,98.24,98.07,99.50,99.16,99.25,99.25,99.41,99.33,99.41,99.41,99.41,98.83,98.83,98.99,98.99,98.99,98.91,98.49,98.41,98.91,98.99,99.16,99.08,98.66,98.66,98.74,98.91,98.91,98.99,98.41,98.58,98.58,98.66,98.66,98.99,98.62,98.83,98.83,98.83,98.83,98.91,98.91,98.91,99.33,99.16,99.58,100.00,100.00,100.00,,100.00,99.75,96.48,96.90,96.57,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,96.82,96.82,96.73,96.73,96.65,96.73,96.57,96.48,96.48,96.40,96.65,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,97.07,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.80,96.62,96.88,96.88,96.65,96.98,96.98,97.15,97.07,97.07,97.15,97.24,97.40,97.32,97.19,97.49,97.24,97.40,97.32,97.32,97.07,97.15,97.15,97.32,97.49,97.57,97.24,97.32,97.40,97.74,97.74,97.65,97.82,97.65,98.32,97.82,97.74,97.82,97.82,97.91,98.16,98.07,97.99,98.16,98.07
A-MN478813,97.65,98.07,98.24,98.07,99.50,99.16,99.25,99.25,99.41,99.33,99.41,99.41,99.41,98.83,98.83,98.99,98.99,98.99,98.91,98.49,98.41,98.91,98.99,99.16,99.08,98.66,98.66,98.74,98.91,98.91,98.99,98.41,98.58,98.58,98.66,98.66,98.99,98.62,98.83,98.83,98.83,98.83,98.91,98.91,98.91,99.33,99.16,99.58,100.00,100.00,100.00,100.00,,99.75,96.48,96.90,96.57,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,96.82,96.82,96.73,96.73,96.65,96.73,96.57,96.48,96.48,96.40,96.65,96.57,96.65,96.82,96.82,96.82,96.73,96.73,96.82,96.82,97.07,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.98,96.80,96.62,96.88,96.88,96.65,96.98,96.98,97.15,97.07,97.07,97.15,97.24,97.40,97.32,97.19,97.49,97.24,97.40,97.32,97.32,97.07,97.15,97.15,97.32,97.49,97.57,97.24,97.32,97.40,97.74,97.74,97.65,97.82,97.65,98.32,97.82,97.74,97.82,97.82,97.91,98.16,98.07,97.99,98.16,98.07
A-KJ721706,97.40,97.82,97.99,97.82,99.25,98.91,98.99,98.99,99.16,99.08,99.16,99.16,99.16,98.58,98.58,98.74,98.74,98.74,98.66,98.24,98.16,98.66,98.74,98.91,98.83,98.41,98.41,98.49,98.66,98.66,98.74,98.16,98.32,98.32,98.41,98.41,98.74,98.37,98.58,98.58,98.58,98.58,98.66,98.66,98.66,99.08,98.91,99.66,99.75,99.75,99.75,99.75,99.75,,96.40,96.82,96.48,96.48,96.57,96.73,96.73,96.73,96.65,96.65,96.73,96.73,96.73,96.73,96.65,96.65,96.57,96.65,96.48,96.40,96.40,96.31,96.57,96.48,96.57,96.73,96.73,96.73,96.65,96.65,96.73,96.73,96.98,96.90,96.90,96.90,96.90,96.90,96.90,96.90,96.90,96.71,96.54,96.80,96.80,96.40,96.73,96.73,96.90,96.82,96.82,96.90,96.98,97.15,97.07,96.94,97.24,96.98,97.15,97.07,97.07,96.82,96.90,96.90,97.07,97.24,97.32,96.98,97.07,97.15,97.49,97.65,97.57,97.57,97.40,98.07,97.57,97.49,97.57,97.57,97.65,97.91,97.82,97.74,97.91,97.82
B-KJ639027,96.82,96.06,96.06,96.06,95.98,95.98,95.90,95.90,96.06,95.81,95.90,95.90,95.90,95.64,95.81,95.81,95.81,95.81,95.90,96.40,96.31,95.56,95.64,95.64,95.73,95.39,95.39,96.57,95.73,95.73,95.81,95.39,95.39,95.39,95.48,95.48,96.48,95.69,95.64,95.64,95.64,95.81,95.73,95.73,95.73,96.31,96.15,96.06,96.48,96.48,96.48,96.48,96.48,96.40,,99.41,99.16,99.25,99.16,99.16,99.16,99.16,99.41,99.25,99.33,99.33,99.33,99.33,99.41,99.41,99.33,99.41,99.25,99.16,99.16,99.08,99.33,99.25,99.33,98.66,98.66,98.83,98.74,98.74,98.83,98.83,98.91,98.99,98.99,98.99,98.99,98.99,98.99,98.99,98.99,98.87,98.70,98.79,98.79,97.07,97.82,97.99,97.99,97.91,97.91,97.99,98.07,98.24,98.16,97.95,98.32,98.07,98.24,98.16,98.16,97.40,97.49,97.32,97.49,97.32,97.40,97.57,97.49,97.57,97.74,98.07,97.99,97.99,97.82,97.82,97.82,98.07,98.16,98.16,97.91,98.24,98.24,98.16,98.32,98.24
B-KJ639016,97.24,96.48,96.48,96.48,96.40,96.40,96.31,96.31,96.48,96.23,96.31,96.31,96.31,96.06,96.23,96.23,96.23,96.23,96.31,96.82,96.73,96.06,96.15,96.15,96.23,95.81,95.81,96.98,96.15,96.15,96.23,95.81,95.81,95.81,95.90,95.90,96.90,96.11,96.06,96.06,96.06,96.23,96.15,96.15,96.15,96.73,96.57,96.48,96.90,96.90,96.90,96.90,96.90,96.82,99.41,,99.41,99.50,99.41,99.41,99.41,99.41,99.66,99.50,99.58,99.58,99.58,99.58,99.66,99.66,99.58,99.66,99.50,99.41,99.41,99.33,99.58,99.50,99.58,98.91,98.91,99.08,98.99,98.99,99.08,99.08,99.16,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.13,98.96,99.05,99.05,97.49,98.24,98.41,98.41,98.32,98.32,98.41,98.49,98.66,98.58,98.37,98.74,98.49,98.66,98.58,98.58,97.82,97.91,97.74,97.91,97.74,97.82,97.99,97.91,97.99,98.16,98.49,98.41,98.41,98.24,98.24,98.24,98.49,98.58,98.58,98.32,98.66,98.66,98.58,98.74,98.66
B-PX211523,96.90,96.15,96.15,96.15,96.06,96.06,95.98,95.98,96.15,95.90,95.98,95.98,95.98,95.73,95.90,95.90,95.90,95.90,95.98,96.57,96.48,95.64,95.77,95.73,95.81,95.56,95.56,96.82,95.81,95.81,95.90,95.48,95.48,95.48,95.56,95.56,96.57,95.77,95.73,95.73,95.73,95.90,95.81,95.81,95.81,96.40,96.23,96.15,96.57,96.57,96.57,96.57,96.57,96.48,99.16,99.41,,99.41,99.50,99.50,99.50,99.50,99.75,99.58,99.66,99.66,99.66,99.66,99.58,99.58,99.50,99.58,99.41,99.33,99.33,99.25,99.50,99.41,99.50,98.83,98.83,98.99,98.91,98.91,98.99,98.99,99.08,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,98.96,98.79,98.87,98.87,97.24,97.99,98.16,98.16,98.07,98.07,98.16,98.24,98.41,98.32,98.16,98.49,98.24,98.41,98.32,98.32,97.40,97.49,97.32,97.49,97.32,97.40,97.57,97.49,97.57,97.74,98.07,97.99,98.16,97.82,97.82,97.82,98.24,98.32,98.32,97.91,98.24,98.24,98.16,98.32,98.24
B-LC260235,96.90,96.15,96.15,96.15,96.06,96.06,95.98,95.98,96.15,95.90,95.98,95.98,95.98,95.73,95.90,95.90,95.90,95.90,95.98,96.57,96.48,95.64,95.73,95.73,95.81,95.56,95.56,96.65,95.81,95.81,95.90,95.48,95.48,95.48,95.56,95.56,96.57,95.77,95.73,95.73,95.73,95.90,95.81,95.81,95.81,96.40,96.40,96.31,96.57,96.57,96.57,96.57,96.57,96.48,99.25,99.50,99.41,,99.41,99.41,99.41,99.41,99.66,99.50,99.58,99.58,99.58,99.58,99.83,99.66,99.58,99.66,99.50,99.41,99.41,99.33,99.58,99.50,99.58,98.91,98.91,99.08,98.99,99.16,99.08,99.08,99.16,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.05,98.87,98.96,98.96,97.32,98.07,98.24,98.24,98.16,98.16,98.24,98.32,98.49,98.41,98.37,98.58,98.49,98.66,98.58,98.58,97.49,97.57,97.40,97.57,97.40,97.49,97.65,97.57,97.65,97.82,98.16,98.07,98.24,97.91,97.90,97.91,98.32,98.41,98.41,97.99,98.32,98.32,98.24,98.41,98.32
B-LC260239,96.98,96.23,96.31,96.23,96.15,96.15,96.06,96.06,96.23,95.98,96.06,96.06,96.06,95.81,95.98,95.98,95.98,95.98,96.06,96.65,96.57,95.73,95.81,95.81,95.90,95.64,95.64,97.07,95.90,95.90,95.98,95.56,95.56,95.56,95.64,95.64,96.65,95.94,95.81,95.81,95.81,95.98,95.90,95.90,95.90,96.48,96.31,96.23,96.65,96.65,96.65,96.65,96.65,96.57,99.16,99.41,99.50,99.41,,99.66,99.66,99.66,99.75,99.75,99.83,99.83,99.83,99.83,99.58,99.58,99.50,99.58,99.41,99.33,99.33,99.25,99.50,99.41,99.50,98.83,98.83,98.99,98.91,98.91,98.99,98.99,99.08,99.16,99.16,99.16,99.16,99.16,99.16,99.16,99.16,98.96,98.79,98.87,98.87,97.24,97.99,98.16,98.16,98.07,98.07,98.16,98.24,98.49,98.41,98.12,98.49,98.24,98.41,98.32,98.32,97.40,97.49,97.32,97.57,97.32,97.40,97.57,97.49,97.57,97.91,98.07,97.99,98.16,97.82,97.98,97.99,98.24,98.32,98.32,97.91,98.24,98.24,98.16,98.32,98.24
B-LC228330,97.15,96.40,96.40,96.40,96.31,96.31,96.23,96.23,96.40,96.15,96.23,96.23,96.23,95.98,96.15,96.15,96.15,96.15,96.23,96.82,96.73,95.90,95.98,95.98,96.06,95.81,95.81,97.07,96.06,96.06,96.15,95.73,95.73,95.73,95.81,95.81,96.82,96.02,95.98,95.98,95.98,96.15,96.06,96.06,96.06,96.65,96.48,96.40,96.82,96.82,96.82,96.82,96.82,96.73,99.16,99.41,99.50,99.41,99.66,,100.00,99.66,99.75,99.92,99.83,99.83,99.83,99.83,99.58,99.58,99.50,99.58,99.41,99.33,99.33,99.25,99.50,99.41,99.50,98.99,98.99,99.16,99.08,99.08,99.16,99.16,99.25,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.13,98.96,99.05,99.05,97.24,98.16,98.32,98.32,98.24,98.24,98.32,98.41,98.58,98.49,98.28,98.66,98.41,98.58,98.49,98.49,97.57,97.65,97.49,97.65,97.49,97.57,97.74,97.65,97.74,98.07,98.24,98.16,98.32,97.99,98.15,97.99,98.41,98.49,98.49,98.07,98.41,98.41,98.32,98.49,98.41
B-LC228319,97.15,96.40,96.40,96.40,96.31,96.31,96.23,96.23,96.40,96.15,96.23,96.23,96.23,95.98,96.15,96.15,96.15,96.15,96.23,96.82,96.73,95.90,95.98,95.98,96.06,95.81,95.81,97.07,96.06,96.06,96.15,95.73,95.73,95.73,95.81,95.81,96.82,96.02,95.98,95.98,95.98,96.15,96.06,96.06,96.06,96.65,96.48,96.40,96.82,96.82,96.82,96.82,96.82,96.73,99.16,99.41,99.50,99.41,99.66,100.00,,99.66,99.75,99.92,99.83,99.83,99.83,99.83,99.58,99.58,99.50,99.58,99.41,99.33,99.33,99.25,99.50,99.41,99.50,98.99,98.99,99.16,99.08,99.08,99.16,99.16,99.25,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.13,98.96,99.05,99.05,97.24,98.16,98.32,98.32,98.24,98.24,98.32,98.41,98.58,98.49,98.28,98.66,98.41,98.58,98.49,98.49,97.57,97.65,97.49,97.65,97.49,97.57,97.74,97.65,97.74,98.07,98.24,98.16,98.32,97.99,98.15,97.99,98.41,98.49,98.49,98.07,98.41,98.41,98.32,98.49,98.41
B-KU550288,97.15,96.40,96.40,96.40,96.31,96.31,96.23,96.23,96.40,96.15,96.23,96.23,96.23,96.15,96.31,96.31,96.31,96.31,96.40,96.82,96.73,95.90,95.98,95.98,96.06,95.81,95.81,97.07,96.06,96.06,96.15,95.90,95.90,95.73,95.81,95.81,96.82,96.02,95.98,95.98,95.98,96.15,96.06,96.06,96.06,96.65,96.48,96.40,96.82,96.82,96.82,96.82,96.82,96.73,99.16,99.41,99.50,99.41,99.66,99.66,99.66,,99.75,99.75,99.83,99.83,99.83,99.83,99.58,99.58,99.50,99.58,99.41,99.33,99.33,99.25,99.50,99.41,99.50,98.99,98.99,99.16,99.08,99.08,99.16,99.16,99.25,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.13,98.96,99.05,99.05,97.40,98.16,98.16,98.32,98.24,98.24,98.32,98.41,98.58,98.49,98.28,98.66,98.41,98.58,98.49,98.49,97.57,97.65,97.49,97.65,97.49,97.57,97.74,97.65,97.74,98.07,98.24,98.16,98.32,97.99,98.15,97.99,98.41,98.49,98.49,98.07,98.41,98.41,98.32,98.49,98.41
B-MH569771,97.07,96.31,96.31,96.31,96.23,96.23,96.15,96.15,96.31,96.06,96.15,96.15,96.15,95.90,96.06,96.06,96.06,96.06,96.15,96.73,96.65,95.81,95.90,95.90,95.98,95.73,95.73,96.98,95.98,95.98,96.06,95.64,95.64,95.64,95.73,95.73,96.73,95.94,95.90,95.90,95.90,96.06,95.98,95.98,95.98,96.57,96.40,96.31,96.73,96.73,96.73,96.73,96.73,96.65,99.41,99.66,99.75,99.66,99.75,99.75,99.75,99.75,,99.83,99.92,99.92,99.92,99.92,99.83,99.83,99.75,99.83,99.66,99.58,99.58,99.50,99.75,99.66,99.75,99.08,99.08,99.25,99.16,99.16,99.25,99.25,99.33,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.41,99.22,99.05,99.13,99.13,97.49,98.24,98.41,98.41,98.32,98.32,98.41,98.49,98.66,98.58,98.37,98.74,98.49,98.66,98.58,98.58,97.65,97.74,97.57,97.74,97.57,97.65,97.82,97.74,97.82,97.99,98.32,98.24,98.41,98.07,98.07,98.07,98.49,98.58,98.58,98.16,98.49,98.49,98.41,98.58,98.49
B-LC541984,97.07,96.31,96.31,96.31,96.23,96.23,96.15,96.15,96.31,96.06,96.15,96.15,96.15,95.90,96.06,96.06,96.06,96.06,96.15,96.73,96.65,95.81,95.90,95.90,95.98,95.73,95.73,96.98,95.98,95.98,96.06,95.64,95.64,95.64,95.73,95.73,96.73,95.94,95.90,95.90,95.90,96.06,95.98,95.98,95.98,96.57,96.40,96.31,96.73,96.73,96.73,96.73,96.73,96.65,99.25,99.50,99.58,99.50,99.75,99.92,99.92,99.75,99.83,,99.92,99.92,99.92,99.92,99.66,99.66,99.58,99.66,99.50,99.41,99.41,99.33,99.58,99.50,99.58,98.91,98.91,99.08,98.99,98.99,99.08,99.08,99.16,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.25,99.05,98.87,98.96,98.96,97.32,98.07,98.24,98.24,98.16,98.16,98.24,98.32,98.49,98.41,98.20,98.58,98.32,98.49,98.41,98.41,97.49,97.57,97.40,97.57,97.40,97.49,97.65,97.57,97.65,97.99,98.16,98.07,98.24,97.91,98.07,97.91,98.32,98.41,98.41,97.99,98.32,98.32,98.24,98.41,98.32
B-MF997039,97.15,96.40,96.40,96.40,96.31,96.31,96.23,96.23,96.40,96.15,96.23,96.23,96.23,95.98,96.15,96.15,96.15,96.15,96.23,96.82,96.73,95.90,95.98,95.98,96.06,95.81,95.81,97.07,96.06,96.06,96.15,95.73,95.73,95.73,95.81,95.81,96.82,96.02,95.98,95.98,95.98,96.15,96.06,96.06,96.06,96.65,96.48,96.40,96.82,96.82,96.82,96.82,96.82,96.73,99.33,99.58,99.66,99.58,99.83,99.83,99.83,99.83,99.92,99.92,,100.00,100.00,100.00,99.75,99.75,99.66,99.75,99.58,99.50,99.50,99.41,99.66,99.58,99.66,98.99,98.99,99.16,99.08,99.08,99.16,99.16,99.25,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.13,98.96,99.05,99.05,97.40,98.16,98.32,98.32,98.24,98.24,98.32,98.41,98.58,98.49,98.28,98.66,98.41,98.58,98.49,98.49,97.57,97.65,97.49,97.65,97.49,97.57,97.74,97.65,97.74,98.07,98.24,98.16,98.32,97.99,98.15,97.99,98.41,98.49,98.49,98.07,98.41,98.41,98.32,98.49,98.41
B-KU550286,97.15,96.40,96.40,96.40,96.31,96.31,96.23,96.23,96.40,96.15,96.23,96.23,96.23,95.98,96.15,96.15,96.15,96.15,96.23,96.82,96.73,95.90,95.98,95.98,96.06,95.81,95.81,97.07,96.06,96.06,96.15,95.73,95.73,95.73,95.81,95.81,96.82,96.02,95.98,95.98,95.98,96.15,96.06,96.06,96.06,96.65,96.48,96.40,96.82,96.82,96.82,96.82,96.82,96.73,99.33,99.58,99.66,99.58,99.83,99.83,99.83,99.83,99.92,99.92,100.00,,100.00,100.00,99.75,99.75,99.66,99.75,99.58,99.50,99.50,99.41,99.66,99.58,99.66,98.99,98.99,99.16,99.08,99.08,99.16,99.16,99.25,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.13,98.96,99.05,99.05,97.40,98.16,98.32,98.32,98.24,98.24,98.32,98.41,98.58,98.49,98.28,98.66,98.41,98.58,98.49,98.49,97.57,97.65,97.49,97.65,97.49,97.57,97.74,97.65,97.74,98.07,98.24,98.16,98.32,97.99,98.15,97.99,98.41,98.49,98.49,98.07,98.41,98.41,98.32,98.49,98.41
B-KU870412,97.15,96.40,96.40,96.40,96.31,96.31,96.23,96.23,96.40,96.15,96.23,96.23,96.23,95.98,96.15,96.15,96.15,96.15,96.23,96.82,96.73,95.90,95.98,95.98,96.06,95.81,95.81,97.07,96.06,96.06,96.15,95.73,95.73,95.73,95.81,95.81,96.82,96.02,95.98,95.98,95.98,96.15,96.06,96.06,96.06,96.65,96.48,96.40,96.82,96.82,96.82,96.82,96.82,96.73,99.33,99.58,99.66,99.58,99.83,99.83,99.83,99.83,99.92,99.92,100.00,100.00,,100.00,99.75,99.75,99.66,99.75,99.58,99.50,99.50,99.41,99.66,99.58,99.66,98.99,98.99,99.16,99.08,99.08,99.16,99.16,99.25,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.33,99.13,98.96,99.05,99.05,97.40,98.16,98.32,98.32,98.24,98.24,98.32,98.41,98.58,98.49,98.28,98.66,98.41,98.58,98.49,98.49,97.57,97.65,97.49,97.65,97.49,97.57,97.74,97.65,97.74,98.07,98.24,98.16,98.32,97.99,98.15,97.99,98.41,98.49,98.49,98.07,98.41,98.41,98.32,98.49,98.41
