,D-HQ657138,D-LC169962,D-LC169951,D-LC169940,D-MT723917,D-MT410495,A-PX211140,A-KC443345,A-LC569097,A-LC477450,A-LC569080,A-LC228370,A-LC569052,A-LC228348,A-LC228337,A-OP717089,A-OP717086,A-LC105569,A-KJ752161,A-MG181887,A-MG181766,A-KC443367,A-KC443222,A-PX211177,A-KJ721724,A-KJ721726,A-MN479030,A-MN479026,A-MN479018,A-MN478971,A-MN479017,A-KF716360,A-KC834711,A-KJ919308,A-KC443356,B-KJ639023,B-KJ639012,B-LC260244,B-KX880428,B-MG670645,B-MG670646,B-MG670642,B-KU059788,B-KU059777,B-KU059766,B-MG670638,B-MG670629,B-LC086725,B-LC086714,B-LC469415,B-LC260246,B-PX211157,B-LC169984,B-LC169973,B-KJ919372,B-LC086802,B-LC086791,B-LC086780,B-LC086736,B-KC178763,B-KC443763,B-KC443323,B-KC443631,B-KC443455,B-KC443200,B-PX211078,B-LC514470,B-MZ546115,B-KX880417,B-KU550266,B-KU550265,B-KU550263,B-LC325463,B-MH704719,B-LC541985,B-LC228326,B-LC228315,B-MT732498,B-LC386065,B-LC514481,B-MG599518,B-MG599517,B-AB975623,B-AB975625,B-AB975653,B-AB848007,B-AB975654,B-LC751266,B-LC751236,B-KY616885,B-LC066661,B-LC066650,B-LC066639,B-PX211080,B-LC260250,B-KU550264,B-KU550262,B-KU870407,B-KU870385,B-MH569748,B-MH569747,B-MF997035,B-MH704718,B-LC228304,B-KC442974,B-KC178768,B-KU356574,B-HQ641355,B-KC443007,B-KR705201,C-KJ721719,C-LC105580,C-MN479107,C-PP861577,C-PP861567,C-OP850442,C-PX211142,C-KC442963,C-KJ721722,C-LC514503,C-OP850443,C-PP861633,C-PP861579,C-KU199270,C-MG181656,C-MW715606,C-MG670643,C-MG670640,C-LC514514,C-MH166403,C-LC514492,C-OP850448,C-OP850447,C-OP850449,C-OP850446,C-OP850444,C-KF716356,C-KF716349,C-KU248405,C-KU248394
B-KU059766,86.13,86.56,86.53,86.53,86.66,86.56,96.44,97.65,97.00,97.06,97.09,97.15,97.15,97.12,97.12,97.15,97.12,96.93,96.84,96.56,96.59,96.81,96.81,96.19,97.59,97.60,97.37,97.46,97.46,97.46,97.43,96.90,97.40,97.24,97.34,99.60,99.66,99.69,99.72,99.47,99.54,99.57,99.88,99.94,,99.72,99.78,99.81,99.81,99.26,99.04,98.62,98.67,98.67,99.01,98.89,98.92,98.92,98.98,98.93,99.29,99.29,99.26,99.13,99.20,98.61,98.67,98.67,98.92,98.85,98.85,98.85,98.92,99.13,98.95,98.95,98.95,99.04,99.01,99.10,99.26,99.32,99.32,99.32,99.32,99.32,99.29,99.29,99.29,99.32,99.26,99.26,99.23,98.93,98.82,99.01,98.98,99.01,98.98,99.13,99.07,99.07,99.29,99.20,97.71,97.77,97.62,98.08,98.17,98.48,95.02,94.12,94.18,94.09,94.12,94.12,94.33,94.41,94.74,94.18,94.43,94.15,94.18,95.79,94.33,94.18,94.21,94.21,94.09,94.12,93.96,93.75,93.72,93.81,93.75,93.75,94.12,94.18,94.15,94.43
B-MG670638,86.16,86.59,86.56,86.56,86.69,86.59,96.34,97.49,96.90,96.97,97.00,97.06,97.06,97.03,97.03,97.00,96.97,96.78,96.69,96.41,96.50,96.72,96.72,96.10,97.43,97.45,97.21,97.31,97.31,97.31,97.28,96.75,97.31,97.15,97.24,99.44,99.50,99.54,99.57,99.50,99.57,99.60,99.60,99.66,99.72,,99.81,99.78,99.78,99.10,98.89,98.47,98.51,98.51,98.85,98.73,98.76,98.76,98.82,98.78,99.13,99.13,99.10,98.98,99.04,98.46,98.51,98.51,98.76,98.70,98.70,98.70,98.82,99.04,98.85,98.85,98.85,98.89,98.85,98.95,99.10,99.16,99.16,99.23,99.16,99.16,99.13,99.13,99.13,99.16,99.10,99.10,99.07,98.78,98.73,98.85,98.82,98.85,98.82,98.98,98.92,98.92,99.13,99.04,97.62,97.62,97.46,97.93,98.02,98.33,94.86,94.02,94.12,94.02,94.06,94.06,94.17,94.32,94.58,94.02,94.27,93.99,94.02,95.63,94.18,94.02,94.06,94.06,93.93,93.96,93.81,93.59,93.56,93.65,93.59,93.59,94.02,94.09,93.99,94.27
B-MG670629,86.16,86.59,86.56,86.56,86.69,86.59,96.47,97.68,97.03,97.09,97.12,97.18,97.18,97.15,97.15,97.18,97.15,96.97,96.87,96.59,96.63,96.84,96.84,96.29,97.62,97.63,97.40,97.49,97.49,97.49,97.46,96.93,97.49,97.34,97.43,99.50,99.57,99.60,99.63,99.69,99.75,99.78,99.66,99.72,99.78,99.81,,99.85,99.85,99.16,98.95,98.53,98.64,98.64,98.92,98.79,98.82,98.82,98.89,98.84,99.20,99.20,99.16,99.04,99.10,98.52,98.58,98.58,98.82,98.76,98.76,98.76,98.82,99.04,98.85,98.85,98.85,98.95,98.92,99.01,99.16,99.23,99.23,99.23,99.23,99.23,99.20,99.20,99.20,99.23,99.16,99.16,99.13,98.84,98.73,98.92,98.89,98.92,98.89,99.04,98.98,98.98,99.20,99.10,97.74,97.80,97.65,98.11,98.20,98.51,95.05,94.15,94.21,94.12,94.15,94.15,94.36,94.44,94.77,94.21,94.46,94.18,94.21,95.82,94.37,94.15,94.24,94.24,94.12,94.15,93.99,93.78,93.75,93.84,93.78,93.78,94.15,94.21,94.18,94.46
B-LC086725,86.13,86.63,86.59,86.59,86.72,86.63,96.40,97.65,97.00,97.06,97.09,97.15,97.15,97.12,97.12,97.15,97.12,96.87,96.78,96.50,96.53,96.81,96.81,96.19,97.59,97.60,97.37,97.46,97.46,97.46,97.43,96.90,97.46,97.31,97.40,99.54,99.60,99.63,99.66,99.54,99.60,99.63,99.69,99.75,99.81,99.78,99.85,,100.00,99.26,99.04,98.62,98.67,98.67,99.01,98.89,98.92,98.92,98.98,98.93,99.29,99.29,99.26,99.13,99.20,98.61,98.67,98.67,98.92,98.85,98.85,98.85,98.92,99.13,98.95,98.95,98.95,99.04,99.01,99.10,99.26,99.32,99.32,99.32,99.32,99.32,99.29,99.29,99.29,99.32,99.26,99.26,99.23,98.93,98.89,99.01,98.98,99.01,98.98,99.13,99.07,99.07,99.29,99.20,97.71,97.77,97.62,98.08,98.17,98.48,95.02,94.12,94.18,94.09,94.12,94.12,94.33,94.41,94.74,94.18,94.43,94.15,94.18,95.79,94.33,94.18,94.21,94.21,94.09,94.12,93.96,93.75,93.72,93.81,93.75,93.75,94.12,94.18,94.15,94.43
B-LC086714,86.13,86.63,86.59,86.59,86.72,86.63,96.40,97.65,97.00,97.06,97.09,97.15,97.15,97.12,97.12,97.15,97.12,96.87,96.78,96.50,96.53,96.81,96.81,96.19,97.59,97.60,97.37,97.46,97.46,97.46,97.43,96.90,97.46,97.31,97.40,99.54,99.60,99.63,99.66,99.54,99.60,99.63,99.69,99.75,99.81,99.78,99.85,100.00,,99.26,99.04,98.62,98.67,98.67,99.01,98.89,98.92,98.92,98.98,98.93,99.29,99.29,99.26,99.13,99.20,98.61,98.67,98.67,98.92,98.85,98.85,98.85,98.92,99.13,98.95,98.95,98.95,99.04,99.01,99.10,99.26,99.32,99.32,99.32,99.32,99.32,99.29,99.29,99.29,99.32,99.26,99.26,99.23,98.93,98.89,99.01,98.98,99.01,98.98,99.13,99.07,99.07,99.29,99.20,97.71,97.77,97.62,98.08,98.17,98.48,95.02,94.12,94.18,94.09,94.12,94.12,94.33,94.41,94.74,94.18,94.43,94.15,94.18,95.79,94.33,94.18,94.21,94.21,94.09,94.12,93.96,93.75,93.72,93.81,93.75,93.75,94.12,94.18,94.15,94.43
B-LC469415,86.35,86.78,86.75,86.75,86.81,86.84,96.40,97.71,97.06,97.12,97.15,97.21,97.21,97.18,97.18,97.21,97.18,96.93,96.84,96.69,96.72,96.87,96.87,96.10,97.59,97.60,97.37,97.46,97.46,97.46,97.43,96.97,97.40,97.24,97.34,99.10,99.16,99.07,99.10,98.92,98.98,99.01,99.13,99.20,99.26,99.10,99.16,99.26,99.26,,99.54,98.68,98.73,98.73,99.07,98.95,98.98,98.98,99.04,98.99,99.35,99.35,99.32,99.20,99.26,98.74,98.73,98.79,98.98,98.92,98.92,98.92,98.98,99.13,99.01,99.01,99.01,99.10,99.07,99.16,99.32,99.38,99.38,99.38,99.38,99.38,99.35,99.35,99.35,99.38,99.32,99.32,99.29,98.99,98.89,99.07,99.04,99.07,99.04,99.20,99.13,99.13,99.35,99.26,97.65,97.71,97.74,98.20,98.17,98.48,95.20,94.24,94.30,94.21,94.24,94.24,94.45,94.54,94.86,94.30,94.49,94.21,94.24,95.67,94.40,94.24,94.27,94.27,94.24,94.27,94.12,93.90,93.87,93.96,93.90,93.90,94.12,94.18,94.21,94.49
B-LC260246,86.25,86.56,86.53,86.53,86.53,86.56,96.44,97.68,97.03,97.09,97.12,97.18,97.18,97.15,97.15,97.18,97.15,96.90,96.81,96.72,96.75,96.78,96.78,96.00,97.49,97.51,97.28,97.37,97.37,97.37,97.34,96.75,97.31,97.15,97.24,98.89,98.95,98.85,98.89,98.70,98.76,98.79,98.92,98.98,99.04,98.89,98.95,99.04,99.04,99.54,,98.53,98.51,98.51,98.85,98.79,98.82,98.82,98.89,98.78,99.13,99.13,99.10,98.98,99.04,98.52,98.51,98.58,98.76,98.70,98.70,98.70,98.76,98.92,98.79,98.79,98.79,98.89,98.85,98.95,99.10,99.16,99.16,99.16,99.16,99.16,99.13,99.13,99.13,99.16,99.10,99.10,99.07,98.84,98.67,98.85,98.82,98.85,98.82,98.98,98.92,98.98,99.13,99.04,97.49,97.55,97.52,97.99,98.02,98.33,94.86,94.15,94.21,94.12,94.15,94.15,94.36,94.44,94.71,94.21,94.46,94.18,94.21,95.63,94.30,94.21,94.24,94.24,94.15,94.18,93.96,93.81,93.78,93.87,93.81,93.81,94.02,94.09,94.12,94.40
B-PX211157,86.24,86.69,86.66,86.66,86.66,86.63,96.32,97.20,96.70,96.76,96.80,96.86,96.86,96.83,96.83,96.89,96.86,96.55,96.39,96.21,96.24,96.55,96.55,95.87,97.26,97.34,97.11,97.20,97.20,97.20,97.17,96.64,97.14,96.98,97.07,98.53,98.59,98.44,98.47,98.28,98.34,98.37,98.50,98.56,98.62,98.47,98.53,98.62,98.62,98.68,98.53,,98.47,98.47,99.30,99.37,99.40,99.40,99.46,98.61,99.02,99.02,98.99,98.87,98.93,98.37,98.22,98.22,98.41,98.34,98.34,98.34,98.34,98.50,98.37,98.37,98.37,98.56,98.53,98.59,98.68,98.75,98.81,98.81,98.81,98.81,98.78,98.78,98.78,98.81,98.75,98.75,98.72,98.47,98.25,98.50,98.47,98.50,98.47,98.65,98.59,98.50,98.72,98.62,97.32,97.38,97.29,97.76,97.91,98.16,94.44,93.95,94.01,93.92,93.95,93.95,94.22,94.27,94.50,94.01,94.20,93.92,93.95,95.40,94.10,93.98,94.01,94.01,93.85,93.89,93.73,93.51,93.48,93.58,93.51,93.51,93.89,93.95,93.92,94.16
B-LC169984,86.16,86.78,86.75,86.75,86.69,86.78,96.57,97.68,97.09,97.15,97.18,97.24,97.24,97.21,97.21,97.31,97.28,97.03,96.87,96.66,96.69,96.78,96.78,96.06,97.68,97.69,97.46,97.55,97.55,97.55,97.52,97.06,97.37,97.28,97.31,98.58,98.64,98.48,98.51,98.39,98.45,98.48,98.54,98.61,98.67,98.51,98.64,98.67,98.67,98.73,98.51,98.47,,99.94,98.85,98.73,98.76,98.76,98.82,98.96,99.38,99.38,99.35,98.98,99.04,98.18,98.14,98.20,98.45,98.39,98.39,98.39,98.45,98.54,98.42,98.42,98.42,98.58,98.54,98.58,98.73,98.79,98.85,98.85,98.85,98.85,98.82,98.82,98.82,98.85,98.73,98.73,98.70,98.50,98.42,98.54,98.51,98.54,98.51,98.67,98.61,98.61,98.82,98.73,97.80,97.93,97.93,98.42,98.39,98.64,94.98,94.33,94.46,94.37,94.40,94.40,94.48,94.57,94.92,94.33,94.58,94.30,94.33,95.79,94.58,94.37,94.46,94.46,94.18,94.30,94.15,93.93,93.90,93.99,93.93,93.93,94.24,94.37,94.27,94.61
B-LC169973,86.10,86.78,86.75,86.75,86.69,86.78,96.57,97.68,97.09,97.15,97.18,97.24,97.24,97.21,97.21,97.31,97.28,97.03,96.87,96.66,96.69,96.78,96.78,96.06,97.68,97.69,97.46,97.55,97.55,97.55,97.52,97.00,97.37,97.28,97.31,98.58,98.64,98.48,98.51,98.39,98.45,98.48,98.54,98.61,98.67,98.51,98.64,98.67,98.67,98.73,98.51,98.47,99.94,,98.85,98.73,98.76,98.76,98.82,98.96,99.38,99.38,99.35,98.98,99.04,98.18,98.14,98.20,98.45,98.39,98.39,98.39,98.45,98.54,98.42,98.42,98.42,98.58,98.54,98.58,98.73,98.79,98.85,98.85,98.85,98.85,98.82,98.82,98.82,98.85,98.73,98.73,98.70,98.50,98.42,98.54,98.51,98.54,98.51,98.67,98.61,98.61,98.82,98.73,97.80,97.93,97.86,98.36,98.39,98.64,94.98,94.40,94.52,94.43,94.46,94.46,94.48,94.57,94.92,94.33,94.58,94.30,94.33,95.79,94.52,94.30,94.40,94.40,94.18,94.24,94.09,93.87,93.84,93.93,93.87,93.87,94.24,94.37,94.27,94.61
B-KJ919372,86.38,86.66,86.63,86.63,86.63,86.66,96.54,97.65,97.06,97.12,97.15,97.21,97.21,97.18,97.18,97.28,97.24,97.00,96.84,96.63,96.66,96.81,96.81,96.10,97.59,97.66,97.43,97.52,97.52,97.52,97.49,96.97,97.46,97.31,97.40,98.92,98.98,98.82,98.85,98.67,98.73,98.76,98.89,98.95,99.01,98.85,98.92,99.01,99.01,99.07,98.85,99.30,98.85,98.85,,99.63,99.66,99.66,99.72,99.06,99.47,99.47,99.44,99.32,99.38,98.52,98.48,98.54,98.73,98.67,98.67,98.67,98.73,98.89,98.76,98.76,98.76,98.92,98.89,98.98,99.07,99.13,99.13,99.13,99.13,99.13,99.10,99.10,99.10,99.13,99.13,99.13,99.10,98.78,98.64,98.89,98.85,98.89,98.85,98.95,98.89,98.89,99.10,99.01,97.77,97.83,97.77,98.27,98.30,98.61,94.89,94.30,94.37,94.27,94.30,94.30,94.45,94.60,94.86,94.30,94.55,94.27,94.30,95.85,94.46,94.30,94.33,94.33,94.21,94.24,94.09,93.87,93.84,93.93,93.87,93.87,94.18,94.24,94.27,94.55
B-LC086802,86.44,86.72,86.69,86.69,86.69,86.72,96.47,97.52,96.93,97.00,97.03,97.09,97.09,97.06,97.06,97.15,97.12,96.87,96.72,96.63,96.66,96.75,96.75,96.00,97.52,97.60,97.37,97.46,97.46,97.46,97.43,96.84,97.34,97.18,97.28,98.79,98.85,98.70,98.73,98.54,98.61,98.64,98.76,98.82,98.89,98.73,98.79,98.89,98.89,98.95,98.79,99.37,98.73,98.73,99.63,,99.78,99.72,99.78,98.93,99.35,99.35,99.32,99.20,99.26,98.40,98.36,98.42,98.61,98.54,98.54,98.54,98.61,98.76,98.64,98.64,98.64,98.79,98.76,98.85,98.95,99.01,99.07,99.07,99.07,99.07,99.04,99.04,99.04,99.07,99.01,99.01,98.98,98.65,98.51,98.76,98.73,98.76,98.73,98.82,98.76,98.76,98.98,98.89,97.65,97.71,97.59,98.08,98.17,98.48,94.89,94.24,94.30,94.21,94.24,94.24,94.45,94.60,94.86,94.30,94.55,94.27,94.30,95.79,94.52,94.37,94.40,94.40,94.21,94.30,94.15,93.93,93.90,93.99,93.93,93.93,94.30,94.37,94.33,94.61
B-LC086791,86.35,86.56,86.53,86.53,86.53,86.56,96.54,97.55,97.03,97.09,97.12,97.18,97.18,97.15,97.15,97.24,97.21,96.97,96.81,96.66,96.69,96.78,96.78,96.06,97.55,97.63,97.40,97.49,97.49,97.49,97.46,96.87,97.37,97.21,97.31,98.82,98.89,98.73,98.76,98.58,98.64,98.67,98.79,98.85,98.92,98.76,98.82,98.92,98.92,98.98,98.82,99.40,98.76,98.76,99.66,99.78,,99.75,99.81,98.96,99.38,99.38,99.35,99.23,99.29,98.43,98.39,98.45,98.64,98.58,98.58,98.58,98.64,98.79,98.67,98.67,98.67,98.82,98.79,98.89,98.98,99.04,99.10,99.10,99.10,99.10,99.07,99.07,99.07,99.10,99.04,99.04,99.01,98.68,98.54,98.79,98.76,98.79,98.76,98.85,98.79,98.79,99.01,98.92,97.68,97.74,97.62,98.11,98.20,98.51,94.80,94.21,94.27,94.18,94.21,94.21,94.42,94.57,94.83,94.27,94.52,94.24,94.27,95.76,94.43,94.27,94.30,94.30,94.18,94.21,94.06,93.84,93.81,93.90,93.84,93.84,94.15,94.21,94.24,94.52
B-LC086780,86.35,86.66,86.63,86.63,86.63,86.66,96.47,97.55,96.97,97.03,97.06,97.12,97.12,97.09,97.09,97.18,97.15,96.97,96.81,96.53,96.56,96.84,96.84,96.00,97.55,97.63,97.40,97.49,97.49,97.49,97.46,96.87,97.37,97.21,97.31,98.82,98.89,98.73,98.76,98.58,98.64,98.67,98.79,98.85,98.92,98.76,98.82,98.92,98.92,98.98,98.82,99.40,98.76,98.76,99.66,99.72,99.75,,99.81,98.96,99.38,99.38,99.35,99.23,99.29,98.43,98.39,98.45,98.64,98.58,98.58,98.58,98.64,98.79,98.67,98.67,98.67,98.82,98.79,98.89,98.98,99.04,99.10,99.10,99.10,99.10,99.07,99.07,99.07,99.10,99.04,99.04,99.01,98.68,98.54,98.79,98.76,98.79,98.76,98.85,98.79,98.79,99.01,98.92,97.74,97.74,97.62,98.11,98.20,98.51,94.86,94.27,94.37,94.27,94.30,94.30,94.48,94.63,94.89,94.33,94.58,94.30,94.33,95.76,94.49,94.33,94.43,94.43,94.24,94.27,94.12,93.90,93.87,93.96,93.90,93.90,94.21,94.27,94.30,94.58
B-LC086736,86.38,86.63,86.59,86.59,86.59,86.63,96.54,97.62,97.03,97.09,97.12,97.18,97.18,97.15,97.15,97.24,97.21,96.97,96.81,96.59,96.63,96.84,96.84,96.06,97.62,97.69,97.46,97.55,97.55,97.55,97.52,96.93,97.43,97.28,97.37,98.89,98.95,98.79,98.82,98.64,98.70,98.73,98.85,98.92,98.98,98.82,98.89,98.98,98.98,99.04,98.89,99.46,98.82,98.82,99.72,99.78,99.81,99.81,,99.02,99.44,99.44,99.41,99.29,99.35,98.49,98.45,98.51,98.70,98.64,98.64,98.64,98.70,98.85,98.73,98.73,98.73,98.89,98.85,98.95,99.04,99.10,99.16,99.16,99.16,99.16,99.13,99.13,99.13,99.16,99.10,99.10,99.07,98.75,98.61,98.85,98.82,98.85,98.82,98.92,98.85,98.85,99.07,98.98,97.74,97.80,97.68,98.17,98.27,98.58,94.86,94.27,94.33,94.24,94.27,94.27,94.48,94.63,94.89,94.40,94.64,94.37,94.40,95.82,94.49,94.33,94.37,94.37,94.24,94.27,94.12,93.90,93.87,93.96,93.90,93.90,94.21,94.27,94.30,94.58
B-KC178763,86.50,86.89,86.86,86.86,86.86,86.89,96.84,97.94,97.29,97.35,97.38,97.45,97.45,97.41,97.41,97.51,97.48,97.29,97.14,96.86,96.89,96.98,96.98,96.35,97.82,97.89,97.66,97.76,97.76,97.76,97.72,97.17,97.63,97.48,97.57,98.84,98.90,98.75,98.78,98.59,98.65,98.68,98.81,98.87,98.93,98.78,98.84,98.93,98.93,98.99,98.78,98.61,98.96,98.96,99.06,98.93,98.96,98.96,99.02,,99.58,99.58,99.55,99.18,99.24,98.51,98.47,98.53,98.78,98.72,98.72,98.72,98.72,98.84,98.72,98.72,98.72,98.78,98.75,98.84,98.99,99.06,99.06,99.06,99.06,99.06,99.02,99.02,99.02,99.06,98.99,98.99,98.96,98.70,98.59,98.75,98.72,98.75,98.72,98.87,98.81,98.81,99.02,98.93,97.91,98.03,97.94,98.41,98.45,98.96,95.20,94.32,94.38,94.29,94.32,94.32,94.51,94.58,94.94,94.35,94.60,94.32,94.35,95.87,94.58,94.40,94.46,94.46,94.37,94.37,94.27,94.06,94.02,94.12,94.06,94.06,94.30,94.37,94.40,94.74
B-KC443763,86.41,86.78,86.75,86.75,86.75,86.78,97.01,98.17,97.59,97.65,97.68,97.74,97.74,97.71,97.71,97.80,97.77,97.52,97.37,97.15,97.18,97.28,97.28,96.58,98.11,98.19,97.96,98.05,98.05,98.05,98.02,97.43,97.93,97.77,97.86,99.20,99.26,99.10,99.13,98.95,99.01,99.04,99.16,99.23,99.29,99.13,99.20,99.29,99.29,99.35,99.13,99.02,99.38,99.38,99.47,99.35,99.38,99.38,99.44,99.58,,100.00,99.97,99.60,99.66,98.74,98.70,98.76,99.01,98.95,98.95,98.95,99.07,99.16,99.04,99.04,99.04,99.13,99.10,99.20,99.35,99.41,99.41,99.41,99.41,99.41,99.38,99.38,99.38,99.41,99.35,99.35,99.32,99.06,98.92,99.10,99.07,99.10,99.07,99.23,99.16,99.16,99.38,99.29,98.24,98.36,98.24,98.73,98.82,99.13,95.42,94.61,94.67,94.58,94.61,94.61,94.82,94.91,95.26,94.67,94.92,94.64,94.67,96.19,94.86,94.64,94.74,94.74,94.58,94.64,94.49,94.27,94.24,94.33,94.27,94.27,94.58,94.64,94.67,95.02
B-KC443323,86.41,86.78,86.75,86.75,86.75,86.78,97.01,98.17,97.59,97.65,97.68,97.74,97.74,97.71,97.71,97.80,97.77,97.52,97.37,97.15,97.18,97.28,97.28,96.58,98.11,98.19,97.96,98.05,98.05,98.05,98.02,97.43,97.93,97.77,97.86,99.20,99.26,99.10,99.13,98.95,99.01,99.04,99.16,99.23,99.29,99.13,99.20,99.29,99.29,99.35,99.13,99.02,99.38,99.38,99.47,99.35,99.38,99.38,99.44,99.58,100.00,,99.97,99.60,99.66,98.74,98.70,98.76,99.01,98.95,98.95,98.95,99.07,99.16,99.04,99.04,99.04,99.13,99.10,99.20,99.35,99.41,99.41,99.41,99.41,99.41,99.38,99.38,99.38,99.41,99.35,99.35,99.32,99.06,98.92,99.10,99.07,99.10,99.07,99.23,99.16,99.16,99.38,99.29,98.24,98.36,98.24,98.73,98.82,99.13,95.42,94.61,94.67,94.58,94.61,94.61,94.82,94.91,95.26,94.67,94.92,94.64,94.67,96.19,94.86,94.64,94.74,94.74,94.58,94.64,94.49,94.27,94.24,94.33,94.27,94.27,94.58,94.64,94.67,95.02
B-KC443631,86.38,86.75,86.72,86.72,86.72,86.75,96.97,98.14,97.55,97.62,97.65,97.71,97.71,97.68,97.68,97.77,97.74,97.49,97.34,97.12,97.15,97.24,97.24,96.55,98.08,98.16,97.93,98.02,98.02,98.02,97.99,97.40,97.89,97.74,97.83,99.16,99.23,99.07,99.10,98.92,98.98,99.01,99.13,99.20,99.26,99.10,99.16,99.26,99.26,99.32,99.10,98.99,99.35,99.35,99.44,99.32,99.35,99.35,99.41,99.55,99.97,99.97,,99.57,99.63,98.71,98.67,98.73,98.98,98.92,98.92,98.92,99.04,99.13,99.01,99.01,99.01,99.10,99.07,99.16,99.32,99.38,99.38,99.38,99.38,99.38,99.35,99.35,99.35,99.38,99.32,99.32,99.29,99.02,98.89,99.07,99.04,99.07,99.04,99.20,99.13,99.13,99.35,99.26,98.20,98.33,98.20,98.70,98.79,99.10,95.39,94.58,94.64,94.55,94.58,94.58,94.79,94.88,95.23,94.64,94.89,94.61,94.64,96.16,94.83,94.61,94.71,94.71,94.55,94.61,94.46,94.24,94.21,94.30,94.24,94.24,94.55,94.61,94.64,94.98
B-KC443455,86.38,86.75,86.72,86.72,86.72,86.75,96.64,97.83,97.24,97.31,97.34,97.40,97.40,97.37,97.37,97.46,97.43,97.18,97.03,96.81,96.84,97.00,97.00,96.22,97.77,97.85,97.62,97.71,97.71,97.71,97.68,97.09,97.59,97.43,97.52,99.04,99.10,98.95,98.98,98.79,98.85,98.89,99.07,99.07,99.13,98.98,99.04,99.13,99.13,99.20,98.98,98.87,98.98,98.98,99.32,99.20,99.23,99.23,99.29,99.18,99.60,99.60,99.57,,99.88,98.58,98.54,98.67,98.85,98.79,98.79,98.79,98.92,99.01,98.89,98.89,98.89,98.98,98.95,99.04,99.20,99.26,99.26,99.26,99.26,99.26,99.23,99.23,99.23,99.26,99.20,99.20,99.16,98.90,98.76,98.95,98.92,98.95,98.92,99.07,99.01,99.01,99.23,99.13,97.96,98.02,97.83,98.33,98.42,98.73,95.20,94.49,94.55,94.46,94.49,94.49,94.70,94.78,95.11,94.55,94.80,94.52,94.55,96.04,94.71,94.55,94.58,94.58,94.46,94.49,94.33,94.12,94.09,94.18,94.12,94.12,94.43,94.49,94.52,94.80
B-KC443200,86.38,86.75,86.72,86.72,86.72,86.75,96.70,97.89,97.31,97.37,97.40,97.46,97.46,97.43,97.43,97.52,97.49,97.24,97.09,96.87,96.90,97.06,97.06,96.29,97.83,97.91,97.68,97.77,97.77,97.77,97.74,97.15,97.65,97.49,97.59,99.16,99.23,99.01,99.04,98.85,98.92,98.95,99.07,99.13,99.20,99.04,99.10,99.20,99.20,99.26,99.04,98.93,99.04,99.04,99.38,99.26,99.29,99.29,99.35,99.24,99.66,99.66,99.63,99.88,,98.65,98.61,98.73,98.92,98.85,98.85,98.85,98.98,99.07,98.95,98.95,98.95,99.04,99.01,99.10,99.26,99.32,99.32,99.32,99.32,99.32,99.29,99.29,99.29,99.32,99.26,99.26,99.23,98.96,98.82,99.01,98.98,99.01,98.98,99.13,99.07,99.07,99.29,99.20,97.96,98.02,97.89,98.39,98.48,98.79,95.26,94.55,94.61,94.52,94.55,94.55,94.76,94.85,95.17,94.61,94.86,94.58,94.61,96.10,94.77,94.61,94.64,94.64,94.52,94.55,94.40,94.18,94.15,94.24,94.18,94.18,94.49,94.55,94.58,94.86
B-PX211078,86.45,86.68,86.65,86.65,86.65,86.62,95.99,97.10,96.54,96.60,96.63,96.70,96.70,96.66,96.66,96.66,96.63,96.32,96.23,95.98,96.01,96.32,96.32,95.67,97.00,96.99,96.82,96.91,96.91,96.91,96.88,96.42,96.91,96.76,96.85,98.49,98.55,98.43,98.46,98.27,98.34,98.37,98.49,98.55,98.61,98.46,98.52,98.61,98.61,98.74,98.52,98.37,98.18,98.18,98.52,98.40,98.43,98.43,98.49,98.51,98.74,98.74,98.71,98.58,98.65,,99.51,99.45,99.57,99.51,99.51,99.51,98.58,98.74,98.61,98.61,98.61,98.68,98.65,98.71,98.86,98.92,98.92,98.92,98.92,98.92,98.89,98.89,98.89,98.92,98.86,98.86,98.83,99.13,98.86,99.05,99.02,99.05,99.02,99.14,99.08,99.11,99.20,99.11,97.16,97.22,97.10,97.53,97.62,98.00,94.62,93.97,93.97,93.88,93.91,93.91,94.06,94.17,94.40,93.85,94.09,93.82,93.85,95.30,94.06,93.94,94.03,94.03,93.82,93.85,93.69,93.60,93.63,93.66,93.63,93.60,93.72,93.78,93.82,94.00
B-LC514470,86.32,86.63,86.59,86.59,86.59,86.56,95.87,97.03,96.44,96.56,96.59,96.59,96.59,96.56,96.56,96.59,96.56,96.32,96.22,95.94,95.98,96.25,96.25,95.58,96.97,96.92,96.75,96.84,96.84,96.84,96.81,96.35,96.84,96.69,96.78,98.51,98.58,98.48,98.51,98.33,98.39,98.42,98.54,98.61,98.67,98.51,98.58,98.67,98.67,98.73,98.51,98.22,98.14,98.14,98.48,98.36,98.39,98.39,98.45,98.47,98.70,98.70,98.67,98.54,98.61,99.51,,99.50,99.63,99.57,99.57,99.57,98.64,98.73,98.61,98.61,98.61,98.70,98.67,98.82,98.92,98.98,98.98,98.98,98.98,98.98,98.95,98.95,98.95,98.98,98.92,98.92,98.89,99.15,98.92,99.10,99.07,99.10,99.07,99.16,99.10,99.16,99.26,99.16,97.18,97.31,97.06,97.49,97.59,97.89,94.71,93.87,93.93,93.84,93.87,93.87,93.99,94.10,94.37,93.81,94.06,93.78,93.81,95.33,94.02,93.90,93.99,93.99,93.78,93.81,93.65,93.56,93.59,93.62,93.59,93.56,93.75,93.81,93.78,93.99
