,C-MT732494,C-LC386072,C-MT723913,C-MT410491,C-LC086743,C-LC169969,C-LC169958,C-LC169947,A-KR705197,A-MW715613,A-MG181894,A-MG181773,A-LC105573,A-KJ752157,A-LC514521,A-LC514477,A-LC514510,A-MG181663,A-KJ721766,A-KF716404,A-KF716397,A-MH182454,A-MN479739,A-PP861905,A-PP861895,A-OP850390,A-LC105584,A-MG670755,A-MG670752,A-KC442959,A-LC086798,A-PX211896,A-LC086787,A-LC086809,A-KJ918955,A-LC169991,A-LC169980,A-PP861907,A-PP861961,A-OP850391,A-KF716407,A-KJ721768,A-MN479662,A-MN479658,A-MN479650,A-MN479649,A-MN479603,A-KJ721772,A-KC443341,A-PX211916,A-KJ918889,A-KC443352,A-KJ721763,A-OP717789,A-OP717786,A-PX211879,A-LC228377,A-LC228355,A-LC569337,A-LC569320,A-LC569292,A-LC477570,A-LC228344,A-HQ657134,A-KC443363,A-KC443218,A-KC443003,A-KC834693,A-KU356581,A-HQ641360,B-PX211817,B-PX211819,B-LC228333,B-LC228322,B-OP850397,B-OP850396,B-OP850395,B-OP850394,B-OP850392,B-LC514499,B-LC514488,B-MH520727,B-MH520732,B-MH704734,B-LC228311,B-KX880421,B-KU550307,B-MZ546119,B-KU550308,B-KU550305,B-KU870414,B-KU870392,B-LC541989,B-MF997042,B-KU550306,B-KU550304,B-MG670750,B-MG670758,B-MG670741,B-LC086732,B-LC086721,B-MG670757,B-MG670754,B-LC066668,B-LC066657,B-LC066646,B-LC260290,B-LC325467,B-MH704735,B-MG573362,B-MG573361,B-LC260294,B-LC260288,B-KX880432,B-KU059795,B-KU059784,B-AB975854,B-AB975825,B-KY616892,B-KU059773,B-LC751684,B-LC751714,B-LC469530,B-AB975853,B-AB975823,B-AB848011,B-KC443451,B-KC443196,B-KJ639030,B-KJ639019,B-PX211881,B-KC178727,B-KC443759,B-KC443627,B-KC443319,B-KC442970,B-KU248412,B-KU248401,B-KC178733,B-KU199277
A-MN479650,86.58,86.48,86.79,86.58,86.79,86.79,86.79,86.79,94.01,96.65,97.06,97.06,97.17,97.06,97.90,97.90,97.59,97.80,98.22,97.69,97.80,97.48,98.01,97.80,97.80,97.90,98.01,98.11,98.11,98.64,99.06,99.06,99.27,99.37,99.48,99.27,99.27,99.37,99.58,99.58,99.48,99.79,99.90,99.90,,100.00,100.00,100.00,97.27,97.27,97.90,97.90,97.80,98.22,98.11,98.06,98.22,98.22,98.32,98.32,98.32,98.32,98.32,97.90,98.32,98.32,98.43,98.74,98.22,98.95,97.12,97.06,97.06,97.06,96.96,96.96,96.96,96.96,96.96,97.27,97.27,97.17,97.48,97.48,97.48,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.38,97.38,97.59,97.38,97.17,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,97.90,97.80,97.59,97.59,97.22,97.75,97.90,97.90,97.90,98.11,98.43,98.43,98.53,98.32
A-MN479649,86.58,86.48,86.79,86.58,86.79,86.79,86.79,86.79,94.01,96.65,97.06,97.06,97.17,97.06,97.90,97.90,97.59,97.80,98.22,97.69,97.80,97.48,98.01,97.80,97.80,97.90,98.01,98.11,98.11,98.64,99.06,99.06,99.27,99.37,99.48,99.27,99.27,99.37,99.58,99.58,99.48,99.79,99.90,99.90,100.00,,100.00,100.00,97.27,97.27,97.90,97.90,97.80,98.22,98.11,98.06,98.22,98.22,98.32,98.32,98.32,98.32,98.32,97.90,98.32,98.32,98.43,98.74,98.22,98.95,97.12,97.06,97.06,97.06,96.96,96.96,96.96,96.96,96.96,97.27,97.27,97.17,97.48,97.48,97.48,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.38,97.38,97.59,97.38,97.17,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,97.90,97.80,97.59,97.59,97.22,97.75,97.90,97.90,97.90,98.11,98.43,98.43,98.53,98.32
A-MN479603,86.58,86.48,86.79,86.58,86.79,86.79,86.79,86.79,94.01,96.65,97.06,97.06,97.17,97.06,97.90,97.90,97.59,97.80,98.22,97.69,97.80,97.48,98.01,97.80,97.80,97.90,98.01,98.11,98.11,98.64,99.06,99.06,99.27,99.37,99.48,99.27,99.27,99.37,99.58,99.58,99.48,99.79,99.90,99.90,100.00,100.00,,100.00,97.27,97.27,97.90,97.90,97.80,98.22,98.11,98.06,98.22,98.22,98.32,98.32,98.32,98.32,98.32,97.90,98.32,98.32,98.43,98.74,98.22,98.95,97.12,97.06,97.06,97.06,96.96,96.96,96.96,96.96,96.96,97.27,97.27,97.17,97.48,97.48,97.48,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.38,97.38,97.59,97.38,97.17,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,97.90,97.80,97.59,97.59,97.22,97.75,97.90,97.90,97.90,98.11,98.43,98.43,98.53,98.32
A-KJ721772,86.58,86.48,86.79,86.58,86.79,86.79,86.79,86.79,94.01,96.65,97.06,97.06,97.17,97.06,97.90,97.90,97.59,97.80,98.22,97.69,97.80,97.48,98.01,97.80,97.80,97.90,98.01,98.11,98.11,98.64,99.06,99.06,99.27,99.37,99.48,99.27,99.27,99.37,99.58,99.58,99.48,99.79,99.90,99.90,100.00,100.00,100.00,,97.27,97.27,97.90,97.90,97.80,98.22,98.11,98.06,98.22,98.22,98.32,98.32,98.32,98.32,98.32,97.90,98.32,98.32,98.43,98.74,98.22,98.95,97.12,97.06,97.06,97.06,96.96,96.96,96.96,96.96,96.96,97.27,97.27,97.17,97.48,97.48,97.48,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.38,97.38,97.59,97.38,97.17,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,97.90,97.80,97.59,97.59,97.22,97.75,97.90,97.90,97.90,98.11,98.43,98.43,98.53,98.32
A-KC443341,87.00,86.90,87.21,87.00,87.21,87.21,87.21,87.21,93.48,96.65,96.86,96.86,96.96,96.86,96.65,96.65,96.33,96.75,96.75,96.44,96.54,95.81,96.33,96.12,96.12,96.23,96.33,96.44,96.44,96.96,96.54,96.86,96.54,96.86,96.75,96.54,96.54,96.86,97.06,97.06,96.75,97.06,97.17,97.17,97.27,97.27,97.27,97.27,,96.44,96.96,96.96,97.38,97.80,97.69,97.01,97.17,97.17,97.27,97.27,97.27,97.27,97.27,97.48,97.06,97.06,97.38,97.27,96.96,97.69,96.07,96.12,96.02,96.02,95.70,95.70,95.70,95.70,95.70,96.02,96.02,95.91,96.02,96.02,96.02,96.02,96.02,96.12,96.12,96.12,95.91,95.91,96.02,96.12,96.12,96.12,95.81,96.02,96.02,96.02,96.02,96.12,96.12,96.12,96.12,96.33,95.91,96.54,96.23,96.54,96.59,96.23,96.12,96.12,96.23,96.33,96.28,96.30,96.33,96.33,96.23,96.33,96.44,96.39,96.40,96.44,96.65,96.54,96.33,96.33,96.07,96.49,96.65,96.65,96.65,97.06,97.17,97.17,97.27,96.86
A-PX211916,86.16,86.06,86.37,86.16,86.37,86.37,86.37,86.37,93.09,95.60,95.60,95.60,95.70,95.60,96.33,96.33,96.02,97.06,96.96,96.23,96.33,96.12,96.54,96.54,96.44,96.44,96.54,96.86,96.86,97.17,96.33,96.44,96.54,96.86,96.75,96.86,96.86,96.86,96.86,96.86,96.75,97.06,97.27,97.17,97.27,97.27,97.27,97.27,96.44,,99.37,99.37,96.54,96.96,96.86,98.01,98.11,98.11,98.22,98.22,98.22,98.22,98.22,97.06,97.06,97.06,97.48,97.48,97.27,97.90,95.96,96.44,96.33,96.33,95.91,95.91,95.91,95.91,95.91,96.23,96.23,96.44,96.33,96.33,96.33,96.33,96.33,96.44,96.44,96.44,96.23,96.23,96.33,96.44,96.44,96.44,96.33,96.44,96.54,96.54,96.54,96.54,96.54,96.33,96.23,96.44,96.23,96.54,96.54,96.86,96.91,96.54,96.44,96.44,96.54,96.65,96.60,96.61,96.65,96.65,96.54,96.65,96.75,96.71,96.72,96.75,96.75,96.65,96.65,96.65,96.23,96.65,96.75,96.75,96.75,96.96,97.17,97.17,97.27,96.86
A-KJ918889,86.48,86.37,86.69,86.48,86.69,86.69,86.69,86.69,93.59,96.02,96.23,96.23,96.33,96.23,96.96,96.96,96.65,97.59,97.59,96.86,96.96,96.65,97.17,97.17,96.96,97.06,97.17,97.48,97.48,97.80,96.96,96.96,97.17,97.48,97.38,97.38,97.38,97.48,97.48,97.48,97.38,97.69,97.80,97.80,97.90,97.90,97.90,97.90,96.96,99.37,,100.00,97.17,97.59,97.48,98.48,98.64,98.64,98.74,98.74,98.74,98.74,98.74,97.69,97.69,97.69,98.01,98.11,97.80,98.53,96.38,96.86,96.86,96.86,96.44,96.44,96.44,96.44,96.44,96.75,96.75,96.96,96.86,96.86,96.86,96.86,96.86,96.96,96.96,96.96,96.75,96.75,96.86,96.96,96.96,96.96,96.86,96.96,97.06,97.06,97.06,97.06,97.06,96.75,96.75,96.96,96.75,97.06,97.06,97.38,97.43,97.06,96.96,96.96,97.06,97.17,97.13,97.14,97.17,97.17,97.06,97.17,97.27,97.24,97.25,97.27,97.27,97.17,97.17,97.17,96.59,97.12,97.27,97.27,97.27,97.48,97.80,97.80,97.90,97.48
A-KC443352,86.48,86.37,86.69,86.48,86.69,86.69,86.69,86.69,93.59,96.02,96.23,96.23,96.33,96.23,96.96,96.96,96.65,97.59,97.59,96.86,96.96,96.65,97.17,97.17,96.96,97.06,97.17,97.48,97.48,97.80,96.96,96.96,97.17,97.48,97.38,97.38,97.38,97.48,97.48,97.48,97.38,97.69,97.80,97.80,97.90,97.90,97.90,97.90,96.96,99.37,100.00,,97.17,97.59,97.48,98.48,98.64,98.64,98.74,98.74,98.74,98.74,98.74,97.69,97.69,97.69,98.01,98.11,97.80,98.53,96.38,96.86,96.86,96.86,96.44,96.44,96.44,96.44,96.44,96.75,96.75,96.96,96.86,96.86,96.86,96.86,96.86,96.96,96.96,96.96,96.75,96.75,96.86,96.96,96.96,96.96,96.86,96.96,97.06,97.06,97.06,97.06,97.06,96.75,96.75,96.96,96.75,97.06,97.06,97.38,97.43,97.06,96.96,96.96,97.06,97.17,97.13,97.14,97.17,97.17,97.06,97.17,97.27,97.24,97.25,97.27,97.27,97.17,97.17,97.17,96.59,97.12,97.27,97.27,97.27,97.48,97.80,97.80,97.90,97.48
A-KJ721763,86.90,86.79,87.11,86.90,87.11,87.11,87.11,87.11,94.74,96.54,96.86,96.86,97.48,97.38,96.75,96.75,96.44,97.69,97.06,96.96,97.06,96.75,96.86,96.65,96.65,96.75,96.86,96.96,96.96,97.48,96.86,96.86,97.06,97.38,97.27,97.27,97.27,97.38,97.59,97.59,97.27,97.80,97.69,97.69,97.80,97.80,97.80,97.80,97.38,96.54,97.17,97.17,,99.37,99.27,97.33,97.59,97.59,97.69,97.69,97.69,97.69,97.69,97.80,97.59,97.59,97.69,97.80,97.48,98.22,96.28,96.33,96.33,96.33,96.02,96.02,96.02,96.02,96.02,96.33,96.33,96.65,96.54,96.54,96.54,96.54,96.54,96.65,96.65,96.65,96.44,96.44,96.54,96.65,96.65,96.65,96.12,96.12,96.33,96.33,96.33,96.23,96.23,96.44,96.44,96.65,96.44,96.23,96.54,96.86,96.91,96.54,96.44,96.44,96.54,96.65,96.60,96.61,96.65,96.65,96.54,96.65,96.75,96.71,96.72,96.75,96.96,96.86,96.65,96.65,96.49,97.01,97.17,97.17,97.17,97.27,97.48,97.48,97.59,97.17
A-OP717789,86.69,86.58,86.90,86.69,86.90,86.90,86.90,86.90,95.16,96.75,96.96,96.96,97.48,97.38,97.17,97.17,96.86,98.11,97.48,97.38,97.48,96.96,97.27,97.06,97.06,97.17,97.27,97.38,97.38,97.90,97.27,97.27,97.48,97.80,97.69,97.69,97.69,97.80,98.01,98.01,97.69,98.01,98.11,98.11,98.22,98.22,98.22,98.22,97.80,96.96,97.59,97.59,99.37,,99.90,97.75,98.01,98.01,98.11,98.11,98.11,98.11,98.11,98.22,98.01,98.01,98.11,98.22,97.90,98.64,96.49,96.54,96.54,96.54,96.23,96.23,96.23,96.23,96.23,96.54,96.54,96.65,96.75,96.75,96.75,96.75,96.75,96.86,96.86,96.86,96.65,96.65,96.75,96.86,96.86,96.86,96.54,96.54,96.75,96.75,96.75,96.65,96.65,96.86,96.86,97.06,96.86,96.65,96.96,97.27,97.33,96.96,96.86,96.86,96.96,97.06,97.03,97.04,97.06,97.06,96.96,97.06,97.17,97.13,97.14,97.17,97.38,97.27,97.06,97.06,96.70,97.22,97.38,97.38,97.38,97.59,97.90,97.90,98.01,97.59
A-OP717786,86.79,86.69,87.00,86.79,87.00,87.00,87.00,87.00,95.16,96.65,96.86,96.86,97.38,97.27,97.27,97.27,96.96,98.01,97.38,97.27,97.38,96.86,97.17,96.96,96.96,97.06,97.17,97.27,97.27,97.80,97.17,97.17,97.38,97.69,97.59,97.59,97.59,97.69,97.90,97.90,97.59,97.90,98.01,98.01,98.11,98.11,98.11,98.11,97.69,96.86,97.48,97.48,99.27,99.90,,97.64,97.90,97.90,98.01,98.01,98.01,98.01,98.01,98.11,97.90,97.90,98.01,98.11,97.80,98.53,96.38,96.44,96.44,96.44,96.12,96.12,96.12,96.12,96.12,96.44,96.44,96.54,96.65,96.65,96.65,96.65,96.65,96.75,96.75,96.75,96.54,96.54,96.65,96.75,96.75,96.75,96.44,96.44,96.65,96.65,96.65,96.54,96.54,96.75,96.75,96.96,96.75,96.54,96.86,97.17,97.22,96.86,96.75,96.75,96.86,96.96,96.92,96.93,96.96,96.96,96.86,96.96,97.06,97.03,97.04,97.06,97.27,97.17,96.96,96.96,96.59,97.12,97.27,97.27,97.27,97.48,97.80,97.80,97.90,97.48
A-PX211879,86.01,85.90,86.22,86.01,86.22,86.22,86.22,86.22,93.53,96.17,96.38,96.38,96.49,96.38,97.01,97.01,96.91,97.33,97.54,97.01,97.12,96.80,97.33,97.33,97.12,97.22,97.33,97.43,97.43,97.96,97.12,97.27,97.33,97.64,97.54,97.54,97.54,97.64,97.64,97.64,97.54,97.85,97.96,97.96,98.06,98.06,98.06,98.06,97.01,98.01,98.48,98.48,97.33,97.75,97.64,,99.42,99.42,99.53,99.53,99.53,99.53,99.53,97.64,97.85,97.85,98.38,98.27,97.96,98.69,96.70,96.96,96.80,96.80,96.49,96.49,96.49,96.49,96.49,96.80,96.80,96.91,97.01,97.01,97.01,97.01,97.01,97.12,97.12,97.12,96.91,96.91,97.01,97.12,97.12,97.12,96.80,96.80,97.01,97.01,97.01,96.91,96.91,96.91,96.91,97.12,96.91,96.91,97.22,97.54,97.59,97.22,97.12,97.12,97.22,97.33,97.29,97.30,97.33,97.33,97.22,97.33,97.43,97.40,97.41,97.43,97.43,97.33,97.33,97.33,96.91,97.27,97.43,97.43,97.43,97.85,97.96,97.96,98.06,97.64
A-LC228377,86.48,86.37,86.69,86.48,86.69,86.69,86.69,86.69,93.80,96.33,96.54,96.54,96.86,96.75,97.17,97.17,96.86,97.48,97.69,97.17,97.27,96.96,97.48,97.48,97.27,97.38,97.48,97.59,97.59,98.11,97.27,97.38,97.48,97.80,97.69,97.80,97.80,97.80,97.80,97.80,97.69,98.01,98.11,98.11,98.22,98.22,98.22,98.22,97.17,98.11,98.64,98.64,97.59,98.01,97.90,99.42,,99.79,99.90,99.90,99.90,99.90,99.90,97.90,98.01,98.01,98.53,98.43,98.11,98.85,96.70,97.06,96.96,96.96,96.65,96.65,96.65,96.65,96.65,96.96,96.96,97.06,97.17,97.17,97.17,97.17,97.17,97.27,97.27,97.27,97.06,97.06,97.17,97.27,97.27,97.27,96.96,96.96,97.17,97.17,97.17,97.06,97.06,97.06,97.06,97.27,97.17,97.06,97.38,97.69,97.75,97.38,97.27,97.27,97.38,97.48,97.45,97.46,97.48,97.48,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.48,97.48,97.01,97.43,97.59,97.59,97.59,98.01,98.11,98.11,98.22,97.80
A-LC228355,86.27,86.16,86.48,86.27,86.48,86.48,86.48,86.48,93.80,96.33,96.54,96.54,96.65,96.54,97.17,97.17,96.86,97.48,97.69,97.17,97.27,96.96,97.48,97.48,97.27,97.38,97.48,97.59,97.59,98.11,97.27,97.38,97.48,97.80,97.69,97.80,97.80,97.80,97.80,97.80,97.69,98.01,98.11,98.11,98.22,98.22,98.22,98.22,97.17,98.11,98.64,98.64,97.59,98.01,97.90,99.42,99.79,,99.90,99.90,99.90,99.90,99.90,97.80,98.01,98.01,98.53,98.43,98.11,98.85,96.70,97.06,96.96,96.96,96.65,96.65,96.65,96.65,96.65,96.96,96.96,97.06,97.17,97.17,97.17,97.17,97.17,97.27,97.27,97.27,97.06,97.06,97.17,97.27,97.27,97.27,96.96,96.96,97.17,97.17,97.17,97.06,97.06,97.06,97.06,97.27,97.17,97.06,97.38,97.69,97.75,97.38,97.27,97.27,97.38,97.48,97.45,97.46,97.48,97.48,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.48,97.48,97.01,97.43,97.59,97.59,97.59,98.01,98.11,98.11,98.22,97.80
A-LC569337,86.37,86.27,86.58,86.37,86.58,86.58,86.58,86.58,93.90,96.44,96.65,96.65,96.75,96.65,97.27,97.27,96.96,97.59,97.80,97.27,97.38,97.06,97.59,97.59,97.38,97.48,97.59,97.69,97.69,98.22,97.38,97.48,97.59,97.90,97.80,97.90,97.90,97.90,97.90,97.90,97.80,98.11,98.22,98.22,98.32,98.32,98.32,98.32,97.27,98.22,98.74,98.74,97.69,98.11,98.01,99.53,99.90,99.90,,100.00,100.00,100.00,100.00,97.90,98.11,98.11,98.64,98.53,98.22,98.95,96.80,97.17,97.06,97.06,96.75,96.75,96.75,96.75,96.75,97.06,97.06,97.17,97.27,97.27,97.27,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.17,97.17,97.38,97.27,97.17,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,97.69,97.59,97.59,97.59,97.12,97.54,97.69,97.69,97.69,98.11,98.22,98.22,98.32,97.90
A-LC569320,86.37,86.27,86.58,86.37,86.58,86.58,86.58,86.58,93.90,96.44,96.65,96.65,96.75,96.65,97.27,97.27,96.96,97.59,97.80,97.27,97.38,97.06,97.59,97.59,97.38,97.48,97.59,97.69,97.69,98.22,97.38,97.48,97.59,97.90,97.80,97.90,97.90,97.90,97.90,97.90,97.80,98.11,98.22,98.22,98.32,98.32,98.32,98.32,97.27,98.22,98.74,98.74,97.69,98.11,98.01,99.53,99.90,99.90,100.00,,100.00,100.00,100.00,97.90,98.11,98.11,98.64,98.53,98.22,98.95,96.80,97.17,97.06,97.06,96.75,96.75,96.75,96.75,96.75,97.06,97.06,97.17,97.27,97.27,97.27,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.17,97.17,97.38,97.27,97.17,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,97.69,97.59,97.59,97.59,97.12,97.54,97.69,97.69,97.69,98.11,98.22,98.22,98.32,97.90
A-LC569292,86.37,86.27,86.58,86.37,86.58,86.58,86.58,86.58,93.90,96.44,96.65,96.65,96.75,96.65,97.27,97.27,96.96,97.59,97.80,97.27,97.38,97.06,97.59,97.59,97.38,97.48,97.59,97.69,97.69,98.22,97.38,97.48,97.59,97.90,97.80,97.90,97.90,97.90,97.90,97.90,97.80,98.11,98.22,98.22,98.32,98.32,98.32,98.32,97.27,98.22,98.74,98.74,97.69,98.11,98.01,99.53,99.90,99.90,100.00,100.00,,100.00,100.00,97.90,98.11,98.11,98.64,98.53,98.22,98.95,96.80,97.17,97.06,97.06,96.75,96.75,96.75,96.75,96.75,97.06,97.06,97.17,97.27,97.27,97.27,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.17,97.17,97.38,97.27,97.17,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,97.69,97.59,97.59,97.59,97.12,97.54,97.69,97.69,97.69,98.11,98.22,98.22,98.32,97.90
A-LC477570,86.37,86.27,86.58,86.37,86.58,86.58,86.58,86.58,93.90,96.44,96.65,96.65,96.75,96.65,97.27,97.27,96.96,97.59,97.80,97.27,97.38,97.06,97.59,97.59,97.38,97.48,97.59,97.69,97.69,98.22,97.38,97.48,97.59,97.90,97.80,97.90,97.90,97.90,97.90,97.90,97.80,98.11,98.22,98.22,98.32,98.32,98.32,98.32,97.27,98.22,98.74,98.74,97.69,98.11,98.01,99.53,99.90,99.90,100.00,100.00,100.00,,100.00,97.90,98.11,98.11,98.64,98.53,98.22,98.95,96.80,97.17,97.06,97.06,96.75,96.75,96.75,96.75,96.75,97.06,97.06,97.17,97.27,97.27,97.27,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.17,97.17,97.38,97.27,97.17,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,97.69,97.59,97.59,97.59,97.12,97.54,97.69,97.69,97.69,98.11,98.22,98.22,98.32,97.90
A-LC228344,86.37,86.27,86.58,86.37,86.58,86.58,86.58,86.58,93.90,96.44,96.65,96.65,96.75,96.65,97.27,97.27,96.96,97.59,97.80,97.27,97.38,97.06,97.59,97.59,97.38,97.48,97.59,97.69,97.69,98.22,97.38,97.48,97.59,97.90,97.80,97.90,97.90,97.90,97.90,97.90,97.80,98.11,98.22,98.22,98.32,98.32,98.32,98.32,97.27,98.22,98.74,98.74,97.69,98.11,98.01,99.53,99.90,99.90,100.00,100.00,100.00,100.00,,97.90,98.11,98.11,98.64,98.53,98.22,98.95,96.80,97.17,97.06,97.06,96.75,96.75,96.75,96.75,96.75,97.06,97.06,97.17,97.27,97.27,97.27,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.17,97.17,97.38,97.27,97.17,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,97.69,97.59,97.59,97.59,97.12,97.54,97.69,97.69,97.69,98.11,98.22,98.22,98.32,97.90
A-HQ657134,87.00,86.90,87.21,87.00,87.21,87.21,87.21,87.21,94.11,96.44,96.65,96.65,97.06,96.96,96.86,96.86,96.54,97.59,98.01,97.69,97.59,97.17,97.59,97.38,97.38,97.48,97.59,97.69,97.69,98.22,96.96,96.96,97.17,97.48,97.38,97.17,97.17,97.48,97.69,97.69,97.38,97.69,97.80,97.80,97.90,97.90,97.90,97.90,97.48,97.06,97.69,97.69,97.80,98.22,98.11,97.64,97.90,97.80,97.90,97.90,97.90,97.90,97.90,,97.90,97.90,98.01,98.32,97.80,98.53,96.17,96.44,96.65,96.65,96.12,96.12,96.12,96.12,96.12,96.44,96.44,96.54,96.65,96.65,96.65,96.65,96.65,96.75,96.75,96.75,96.54,96.54,96.65,96.75,96.75,96.75,96.44,96.44,96.65,96.65,96.65,96.54,96.54,96.54,96.54,96.75,96.54,96.75,97.06,97.17,97.22,96.86,96.75,96.75,96.86,96.96,96.92,96.93,96.96,96.96,96.86,96.96,97.06,97.03,97.04,97.06,97.48,97.38,97.06,97.06,96.59,97.12,97.27,97.27,97.27,97.48,97.80,97.80,97.90,97.48
A-KC443363,86.69,86.58,86.90,86.69,86.90,86.90,86.90,86.90,93.90,96.23,96.65,96.65,96.75,96.65,97.27,97.27,97.17,97.80,97.80,97.69,97.59,97.06,97.59,97.38,97.38,97.48,97.80,97.69,97.69,98.22,97.38,97.38,97.59,97.90,97.80,97.59,97.59,97.69,97.90,97.90,97.80,98.11,98.22,98.22,98.32,98.32,98.32,98.32,97.06,97.06,97.69,97.69,97.59,98.01,97.90,97.85,98.01,98.01,98.11,98.11,98.11,98.11,98.11,97.90,,100.00,98.22,98.53,98.01,98.74,96.70,97.06,97.06,97.06,96.75,96.75,96.75,96.75,96.75,97.06,97.06,97.17,97.27,97.27,97.27,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.17,97.17,97.38,97.17,97.06,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,98.11,98.01,97.69,97.69,97.01,97.54,97.69,97.69,97.69,97.90,98.22,98.22,98.32,97.90
A-KC443218,86.69,86.58,86.90,86.69,86.90,86.90,86.90,86.90,93.90,96.23,96.65,96.65,96.75,96.65,97.27,97.27,97.17,97.80,97.80,97.69,97.59,97.06,97.59,97.38,97.38,97.48,97.80,97.69,97.69,98.22,97.38,97.38,97.59,97.90,97.80,97.59,97.59,97.69,97.90,97.90,97.80,98.11,98.22,98.22,98.32,98.32,98.32,98.32,97.06,97.06,97.69,97.69,97.59,98.01,97.90,97.85,98.01,98.01,98.11,98.11,98.11,98.11,98.11,97.90,100.00,,98.22,98.53,98.01,98.74,96.70,97.06,97.06,97.06,96.75,96.75,96.75,96.75,96.75,97.06,97.06,97.17,97.27,97.27,97.27,97.27,97.27,97.38,97.38,97.38,97.17,97.17,97.27,97.38,97.38,97.38,97.06,97.06,97.27,97.27,97.27,97.17,97.17,97.17,97.17,97.38,97.17,97.06,97.48,97.80,97.85,97.48,97.38,97.38,97.48,97.59,97.56,97.57,97.59,97.59,97.48,97.59,97.69,97.66,97.67,97.69,98.11,98.01,97.69,97.69,97.01,97.54,97.69,97.69,97.69,97.90,98.22,98.22,98.32,97.90
A-KC443003,86.27,86.16,86.48,86.27,86.27,86.48,86.48,86.48,94.01,96.33,96.54,96.54,96.86,96.75,97.59,97.59,97.27,97.90,98.11,97.59,97.69,97.38,97.90,97.69,97.69,97.80,97.90,98.01,98.01,98.53,97.48,97.59,97.69,98.01,97.90,97.69,97.69,97.80,98.01,98.01,97.90,98.22,98.32,98.32,98.43,98.43,98.43,98.43,97.38,97.48,98.01,98.01,97.69,98.11,98.01,98.38,98.53,98.53,98.64,98.64,98.64,98.64,98.64,98.01,98.22,98.22,,98.64,98.32,99.06,96.80,97.17,97.17,97.17,96.86,96.86,96.86,96.86,96.86,97.17,97.17,97.27,97.38,97.38,97.38,97.38,97.38,97.48,97.48,97.48,97.27,97.27,97.38,97.48,97.48,97.48,97.17,97.17,97.38,97.38,97.38,97.27,97.27,97.27,97.27,97.48,97.27,97.27,97.48,97.90,97.85,97.59,97.48,97.48,97.59,97.69,97.66,97.67,97.69,97.69,97.59,97.69,97.80,97.77,97.78,97.80,98.01,97.90,97.69,97.69,97.33,97.85,98.01,98.01,98.01,98.43,98.32,98.32,98.64,98.22
